,cust_number,buisness_year,doc_id,converted_usd,business_code_enc,day_of_posting_date,month_of_posting_date,year_of_posting_date,day_of_create_date,month_of_create_date,year_of_create_date,day_of_due,month_of_due,year_of_due,cust_payment_terms_enc,name_customer_enc,clear_date,posting_date,due_in_date,baseline_create_date,Aging Bucket
0,140105686,2020.0,2960623488.0,2309.7899999999995,65,30,3,2020,31,3,2020,10,4,2020,5,2694,2020-04-26 14:35:17.000000000,2020-03-30,2020-04-10,2020-03-31,16-30
1,200744019,2020.0,1930659387.0,11173.02,65,19,3,2020,19,3,2020,3,4,2020,21,2777,2020-04-08 22:23:51.031250000,2020-03-19,2020-04-03,2020-03-19,0-15
2,200418007,2020.0,1930610806.0,3525.59,65,11,3,2020,11,3,2020,26,3,2020,21,96,2020-03-23 07:34:15.859375000,2020-03-11,2020-03-26,2020-03-11,0-15
3,200739534,2020.0,1930788296.0,121105.65,65,15,4,2020,15,4,2020,30,4,2020,21,2008,2020-05-05 07:45:51.906250000,2020-04-15,2020-04-30,2020-04-15,0-15
4,200353024,2020.0,1930817482.0,3726.06,65,23,4,2020,16,4,2020,26,4,2020,36,729,2020-04-22 16:59:43.281250000,2020-04-23,2020-04-26,2020-04-16,0-15
5,200744019,2020.0,1930676042.0,5893.01,65,21,3,2020,21,3,2020,5,4,2020,21,2768,2020-04-10 19:53:30.531250000,2020-03-21,2020-04-05,2020-03-21,0-15
6,140106408,2020.0,2960618790.0,64982.589,65,6,3,2020,6,3,2020,16,3,2020,5,2965,2020-04-11 06:07:15.750000000,2020-03-06,2020-03-16,2020-03-06,16-30
7,200337148,2020.0,1930592246.0,11380.83,65,2,3,2020,2,3,2020,17,3,2020,21,555,2020-03-18 06:13:00.062500000,2020-03-02,2020-03-17,2020-03-02,0-15
8,200794332,2020.0,1930731070.0,3863.93,65,7,4,2020,7,4,2020,22,4,2020,23,616,2020-04-22 23:17:31.164062500,2020-04-07,2020-04-22,2020-04-07,0-15
9,200794332,2020.0,1930803605.0,74453.01,65,23,4,2020,23,4,2020,8,5,2020,23,622,2020-05-07 17:40:23.400390625,2020-04-23,2020-05-08,2020-04-23,0-15
10,200803720,2020.0,1930698352.0,138.6,65,25,3,2020,16,3,2020,8,4,2020,38,717,2020-04-09 04:20:16.531250000,2020-03-25,2020-04-08,2020-03-16,0-15
11,200794332,2020.0,1930647189.0,32715.47,65,13,3,2020,13,3,2020,28,3,2020,23,617,2020-03-28 22:36:30.218750000,2020-03-13,2020-03-28,2020-03-13,0-15
12,200020431,2020.0,1930861637.0,174.72,65,6,5,2020,1,5,2020,24,5,2020,38,724,2020-05-25 18:51:25.468750000,2020-05-06,2020-05-24,2020-05-01,0-15
13,200769623,2020.0,1930635649.0,767.78,65,12,3,2020,12,3,2020,27,3,2020,34,2974,2020-04-11 06:52:30.375000000,2020-03-12,2020-03-27,2020-03-12,16-30
14,140105785,2020.0,2960624627.0,1980.7199999999998,65,27,3,2020,31,3,2020,10,4,2020,5,2895,2020-05-08 00:13:43.250000000,2020-03-27,2020-04-10,2020-03-31,16-30
15,200769623,2020.0,1930577078.0,14514.68,65,28,2,2020,28,2,2020,14,3,2020,34,2973,2020-03-29 00:13:57.875000000,2020-02-28,2020-03-14,2020-02-28,16-30
16,200769623,2020.0,1930774741.0,55400.31,65,10,4,2020,10,4,2020,25,4,2020,34,2978,2020-05-10 12:52:55.500000000,2020-04-10,2020-04-25,2020-04-10,16-30
17,200772670,2020.0,1930765053.0,174766.36,65,9,4,2020,9,4,2020,24,4,2020,46,195,2020-04-25 12:11:37.523437500,2020-04-09,2020-04-24,2020-04-09,0-15
18,200900909,2020.0,1930645969.0,31512.75,65,13,3,2020,13,3,2020,14,4,2020,14,2744,2020-04-19 05:26:16.281250000,2020-03-13,2020-04-14,2020-03-13,0-15
19,200769623,2020.0,1930718081.0,19701.55,65,30,3,2020,30,3,2020,14,4,2020,34,2981,2020-04-29 10:26:28.375000000,2020-03-30,2020-04-14,2020-03-30,16-30
20,200726979,2020.0,1930788667.0,132.72,65,16,4,2020,16,4,2020,1,5,2020,21,342,2020-05-06 18:06:33.593750000,2020-04-16,2020-05-01,2020-04-16,0-15
21,200769623,2020.0,1930709919.0,1121.15,65,29,3,2020,29,3,2020,13,4,2020,34,2980,2020-04-30 14:02:59.250000000,2020-03-29,2020-04-13,2020-03-29,16-30
22,200769623,2020.0,1930752568.0,11394.84,65,6,4,2020,6,4,2020,21,4,2020,34,2980,2020-05-06 10:46:29.375000000,2020-04-06,2020-04-21,2020-04-06,16-30
23,140105847,2020.0,2960627274.0,2579.64,65,8,4,2020,8,4,2020,18,4,2020,5,1117,2020-05-03 19:09:41.500000000,2020-04-08,2020-04-18,2020-04-08,16-30
24,200744019,2020.0,1930648342.0,52123.3,65,15,3,2020,15,3,2020,30,3,2020,21,2772,2020-04-05 06:11:37.625000000,2020-03-15,2020-03-30,2020-03-15,0-15
25,200769623,2020.0,1930632791.0,14994.01,65,10,3,2020,10,3,2020,25,3,2020,34,2981,2020-04-09 18:26:22.000000000,2020-03-10,2020-03-25,2020-03-10,16-30
26,200769623,2020.0,1930617194.0,36.06,65,6,3,2020,6,3,2020,21,3,2020,34,2980,2020-04-10 02:19:52.125000000,2020-03-06,2020-03-21,2020-03-06,16-30
27,200418007,2020.0,1930752243.0,25836.19,65,6,4,2020,6,4,2020,21,4,2020,21,102,2020-04-18 11:21:42.656250000,2020-04-06,2020-04-21,2020-04-06,0-15
28,200739006,2020.0,1930768064.0,4309.05,65,15,4,2020,15,4,2020,30,4,2020,21,57,2020-05-01 14:43:19.734375000,2020-04-15,2020-04-30,2020-04-15,0-15
29,100031704,2020.0,1930789873.0,70181.07,65,15,4,2020,15,4,2020,30,4,2020,21,742,2020-05-02 19:30:22.531250000,2020-04-15,2020-04-30,2020-04-15,0-15
30,200769623,2020.0,1930705172.0,3403.8,65,28,3,2020,28,3,2020,12,4,2020,34,2982,2020-04-27 15:23:05.750000000,2020-03-28,2020-04-12,2020-03-28,16-30
31,200744019,2020.0,1930620634.0,10665.53,65,10,3,2020,10,3,2020,14,5,2020,33,2775,2020-05-19 09:50:58.906250000,2020-03-10,2020-05-14,2020-03-10,0-15
32,200769623,2020.0,1930676002.0,7280.51,65,21,3,2020,21,3,2020,5,4,2020,34,2973,2020-04-20 00:29:30.875000000,2020-03-21,2020-04-05,2020-03-21,16-30
33,200726979,2020.0,1930585378.0,13681.7,65,2,3,2020,2,3,2020,17,3,2020,21,337,2020-03-18 14:18:37.421875000,2020-03-02,2020-03-17,2020-03-02,0-15
34,200706844,2020.0,1930773419.0,33947.85,65,7,4,2020,7,4,2020,22,4,2020,21,3034,2020-05-10 09:47:59.250000000,2020-04-07,2020-04-22,2020-04-07,16-30
35,200793830,2020.0,1930767747.0,4537.14,65,8,4,2020,8,4,2020,23,4,2020,21,1690,2020-04-26 23:57:13.500000000,2020-04-08,2020-04-23,2020-04-08,0-15
